client_id,applicable
135,TENANT|PROP_MSB|GL|PRODQ
136,
137,TENANT|PROP_MSB|EQUIP|DMS|CYBER
138,
139,DMS|CYBER
140,TENANT|PROP_MSB|EQUIP|DMS|CYBER
141,TENANT|PROP_MSB|EQUIP|DMS|CYBER
142,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS|CYBER
143,
144,TENANT|PROP_MSB|CYBER
145,TENANT|PROP_MSB|GL|PRODQ|DMS
146,
147,TENANT|PROP_MSB|GL|PRODQ
148,TENANT|PROP_MSB|GL|PRODQ
149,
150,PROP_MSB|EQUIP
151,TENANT|PROP_MSB|GL|CYBER
152,
153,TENANT|PROP_MSB|EQUIP|GL|PRODQ
154,CYBER
155,
156,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
157,
158,TENANT|PROP_MSB|GL|PRODQ
159,
160,TENANT|PROP_MSB|EQUIP|GL|CYBER
161,TENANT|PROP_MSB|CYBER
162,TENANT|PROP_MSB|EQUIP|CYBER
163,DMS|CYBER
164,TENANT|PROP_MSB|GL|PRODQ
165,
166,TENANT|PROP_MSB|EQUIP|CYBER
167,TENANT|PROP_MSB|GL|PRODQ|DMS
168,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
169,
170,TENANT|PROP_MSB|EQUIP|GL|PRODQ
171,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
172,TENANT|PROP_MSB|EQUIP|DMS|CYBER
173,TENANT|PROP_MSB|EQUIP|GL|PRODQ
174,TENANT|PROP_MSB|GL|CYBER
175,TENANT|PROP_MSB|EQUIP|DMS|CYBER
176,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
177,TENANT|PROP_MSB|EQUIP|GL|PRODQ
178,
179,
180,
181,TENANT|PROP_MSB|EQUIP|CYBER
182,
183,DMS|CYBER
184,TENANT|PROP_MSB|EQUIP|GL
185,TENANT|PROP_MSB|EQUIP|GL|PRODQ
186,TENANT|PROP_MSB|EQUIP|GL|CYBER
187,TENANT|PROP_MSB|EQUIP|GL|CYBER
188,
189,TENANT|PROP_MSB|CYBER
190,TENANT|PROP_MSB|EQUIP|DMS|CYBER
191,
192,
193,TENANT|PROP_MSB|EQUIP|DMS|CYBER
194,CYBER
195,CYBER
196,TENANT|PROP_MSB|GL|PRODQ|CYBER
197,PROP_MSB|EQUIP|CYBER
198,TENANT|PROP_MSB|EQUIP|GL|CYBER
199,TENANT|PROP_MSB|EQUIP|GL|PRODQ
200,PROP_MSB|EQUIP|CYBER
201,
202,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
203,TENANT|PROP_MSB|EQUIP|CYBER
204,
205,TENANT|PROP_MSB|EQUIP|CYBER
206,
207,TENANT|PROP_MSB|PRODQ|DMS|CYBER
208,
209,TENANT|PROP_MSB|CYBER
210,TENANT|PROP_MSB|EQUIP|GL|CYBER
211,
212,TENANT|PROP_MSB|EQUIP|DMS|CYBER
213,
214,
215,TENANT|PROP_MSB|GL|CYBER
216,TENANT|PROP_MSB|EQUIP|DMS|CYBER
217,TENANT|PROP_MSB|GL|PRODQ|CYBER
218,
219,TENANT|PROP_MSB|EQUIP|DMS|CYBER
220,TENANT|PROP_MSB|EQUIP|GL|PRODQ
221,TENANT|PROP_MSB|GL|PRODQ|DMS
222,TENANT|PROP_MSB|GL|CYBER
223,TENANT|PROP_MSB|GL|PRODQ|DMS
224,
225,
226,
227,PROP_MSB|EQUIP|CYBER
228,
229,TENANT|PROP_MSB|EQUIP|DMS|CYBER
230,TENANT|PROP_MSB|EQUIP|DMS|CYBER
231,TENANT|PROP_MSB|GL|PRODQ|DMS
232,
233,TENANT|PROP_MSB|GL|PRODQ
234,
235,TENANT|PROP_MSB|GL|CYBER
236,TENANT|PROP_MSB|CYBER
237,TENANT|PROP_MSB|EQUIP|GL|PRODQ
238,TENANT|PROP_MSB|GL|PRODQ|DMS
239,TENANT|PROP_MSB|EQUIP|GL|PRODQ
240,
241,
242,TENANT|PROP_MSB|PRODQ|DMS
243,TENANT|PROP_MSB|CYBER
244,TENANT|PROP_MSB|EQUIP|DMS|CYBER
245,
246,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS|CYBER
247,TENANT|PROP_MSB|CYBER
248,TENANT|PROP_MSB|GL|CYBER
249,TENANT|PROP_MSB|GL|CYBER
250,
251,PROP_MSB|EQUIP|CYBER
252,TENANT|PROP_MSB|EQUIP|GL|CYBER
253,TENANT|PROP_MSB|EQUIP|GL|CYBER
254,
255,TENANT|PROP_MSB|GL|PRODQ
256,
257,PROP_MSB|EQUIP
258,TENANT|PROP_MSB|EQUIP|DMS|CYBER
259,TENANT|PROP_MSB|EQUIP|PRODQ|DMS|CYBER
260,TENANT|PROP_MSB|GL|PRODQ
261,TENANT|PROP_MSB|CYBER
262,TENANT|PROP_MSB|GL|PRODQ
263,
264,
265,TENANT|PROP_MSB|EQUIP|DMS|CYBER
266,
267,TENANT|PROP_MSB|CYBER
268,
269,
270,TENANT|PROP_MSB|GL
271,PROP_MSB|EQUIP|DMS|CYBER
272,
273,
274,TENANT|PROP_MSB|CYBER
275,TENANT|PROP_MSB|GL|PRODQ
276,
277,
278,TENANT|PROP_MSB|DMS|CYBER
279,TENANT|PROP_MSB|GL|CYBER
280,TENANT|PROP_MSB|GL|CYBER
281,
282,TENANT|PROP_MSB|EQUIP|GL|PRODQ|CYBER
283,TENANT|PROP_MSB|CYBER
284,
285,TENANT|PROP_MSB|EQUIP|DMS|CYBER
286,CYBER
287,TENANT|PROP_MSB|GL|CYBER
288,TENANT|PROP_MSB|CYBER
289,TENANT|PROP_MSB|CYBER
290,
291,TENANT|PROP_MSB|EQUIP|DMS|CYBER
292,TENANT|PROP_MSB|CYBER
293,TENANT|PROP_MSB|CYBER
294,TENANT|PROP_MSB|GL|PRODQ|DMS
295,TENANT|PROP_MSB|DMS|CYBER
296,TENANT|PROP_MSB|DMS|CYBER
297,
298,
299,
300,TENANT|PROP_MSB|EQUIP|GL|PRODQ|CYBER
301,
302,TENANT|PROP_MSB|EQUIP|GL|PRODQ
303,
304,TENANT|PROP_MSB|EQUIP|GL|PRODQ
305,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
306,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
307,
308,
309,TENANT|PROP_MSB|GL|CYBER
310,PROP_MSB|DMS
311,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
312,TENANT|PROP_MSB|GL|PRODQ|CYBER
313,
314,
315,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
316,
317,
318,TENANT|PROP_MSB|CYBER
319,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS|CYBER
320,TENANT|PROP_MSB|GL|PRODQ|DMS
321,TENANT|PROP_MSB|CYBER
322,TENANT|PROP_MSB|CYBER
323,TENANT|PROP_MSB|GL
324,TENANT|PROP_MSB|EQUIP|DMS|CYBER
325,
326,TENANT|PROP_MSB|EQUIP|PRODQ|DMS|CYBER
327,PROP_MSB|DMS
328,PROP_MSB|PRODQ
329,CYBER
330,
331,TENANT|PROP_MSB|EQUIP|GL|PRODQ
332,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
333,TENANT|PROP_MSB|EQUIP|DMS|CYBER
334,TENANT|PROP_MSB|GL|PRODQ
335,TENANT|PROP_MSB|GL|CYBER
336,TENANT|PROP_MSB|GL|CYBER
337,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS|CYBER
338,TENANT|PROP_MSB|GL|PRODQ|DMS
339,TENANT|PROP_MSB|GL|PRODQ
340,
341,
342,TENANT|PROP_MSB|EQUIP|GL|PRODQ
343,TENANT|PROP_MSB|DMS|CYBER
344,TENANT|PROP_MSB|EQUIP|CYBER
345,
346,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
347,TENANT|PROP_MSB|EQUIP|CYBER
348,TENANT|PROP_MSB|GL|CYBER
349,TENANT|PROP_MSB|EQUIP|DMS|CYBER
350,TENANT|PROP_MSB|PRODQ
351,PROP_MSB|EQUIP|DMS|CYBER
352,TENANT|PROP_MSB|GL|PRODQ|DMS
353,TENANT|PROP_MSB|EQUIP|CYBER
354,
355,DMS|CYBER
356,TENANT|PROP_MSB|EQUIP|DMS|CYBER
357,TENANT|PROP_MSB|GL|PRODQ
358,
359,
360,TENANT|PROP_MSB|DMS|CYBER
361,
362,TENANT|PROP_MSB|EQUIP|GL|PRODQ
363,TENANT|PROP_MSB|CYBER
364,
365,TENANT|PROP_MSB|DMS|CYBER
366,TENANT|PROP_MSB|GL|CYBER
367,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS|CYBER
368,TENANT|PROP_MSB|CYBER
369,TENANT|PROP_MSB|EQUIP|PRODQ|CYBER
370,TENANT|PROP_MSB|PRODQ|CYBER
371,TENANT|PROP_MSB|EQUIP|GL|PRODQ
372,TENANT|PROP_MSB|EQUIP|DMS|CYBER
373,TENANT|PROP_MSB|EQUIP|GL|PRODQ
374,TENANT|PROP_MSB|EQUIP|CYBER
375,TENANT|PROP_MSB|GL|PRODQ|CYBER
376,TENANT|PROP_MSB|GL|PRODQ|DMS|CYBER
377,TENANT|PROP_MSB|GL|PRODQ|DMS
378,
379,TENANT|PROP_MSB|EQUIP|DMS|CYBER
380,TENANT|PROP_MSB|GL|CYBER
381,CYBER
382,TENANT|PROP_MSB|EQUIP|GL|PRODQ|DMS
383,TENANT|PROP_MSB|GL|PRODQ
384,TENANT|PROP_MSB|EQUIP|DMS|CYBER
385,
386,PROP_MSB|CYBER
387,TENANT|PROP_MSB|GL|CYBER
388,TENANT|PROP_MSB|EQUIP|GL|CYBER
389,TENANT|PROP_MSB|DMS|CYBER
390,PROP_MSB|EQUIP|CYBER
391,
392,TENANT|PROP_MSB|EQUIP|GL|CYBER
393,TENANT|PROP_MSB|EQUIP|DMS|CYBER
394,DMS|CYBER
395,TENANT|PROP_MSB|DMS|CYBER
396,TENANT|PROP_MSB|GL|PRODQ
397,
398,TENANT|PROP_MSB|EQUIP|GL|CYBER
399,
400,
