industry_code;industry_name;region_code;region_name;population_k;ip_count;ip_growth_yoy_pct;avg_monthly_revenue_rub;revenue_p25_rub;revenue_p90_rub;closure_rate_12m_pct;entry_ease_index;seasonality_index;snapshot_date
beauty;Барбершоп и салон красоты;spb;Санкт-Петербург;5600;1730;13,0;717000;476000;1238000;22,8;62;0,21;2026-07-01
beauty;Барбершоп и салон красоты;mo;Московская область;8500;2594;12,4;663000;438000;1276000;24,7;63;0,21;2026-07-01
beauty;Барбершоп и салон красоты;krd;Краснодарский край;5800;1692;12,1;470000;314000;929000;25,0;61;0,3;2026-07-01
beauty;Барбершоп и салон красоты;sverdlovsk;Свердловская область;4200;984;11,1;467000;327000;848000;21,7;59;0,19;2026-07-01
beauty;Барбершоп и салон красоты;tatarstan;Республика Татарстан;3900;1010;9,9;575000;397000;1009000;23,6;64;0,22;2026-07-01
beauty;Барбершоп и салон красоты;nsk;Новосибирская область;2800;625;8,2;463000;317000;811000;21,7;57;0,21;2026-07-01
beauty;Барбершоп и салон красоты;rostov;Ростовская область;4100;812;9,7;458000;292000;858000;18,9;57;0,22;2026-07-01
beauty;Барбершоп и салон красоты;chelyabinsk;Челябинская область;3400;654;6,6;384000;258000;727000;21,7;60;0,21;2026-07-01
beauty;Барбершоп и салон красоты;nnov;Нижегородская область;3100;591;7,2;400000;262000;739000;19,0;59;0,25;2026-07-01
beauty;Барбершоп и салон красоты;samara;Самарская область;3100;649;9,7;437000;297000;862000;20,1;57;0,23;2026-07-01
beauty;Барбершоп и салон красоты;lenobl;Ленинградская область;2000;423;10,1;488000;311000;965000;19,9;65;0,27;2026-07-01
beauty;Барбершоп и салон красоты;bashkortostan;Республика Башкортостан;4000;915;11,1;474000;314000;937000;22,2;58;0,24;2026-07-01
beauty;Барбершоп и салон красоты;primorye;Приморский край;1850;346;6,5;441000;300000;823000;19,8;59;0,25;2026-07-01
beauty;Барбершоп и салон красоты;kaliningrad;Калининградская область;1030;211;12,6;427000;297000;841000;19,9;65;0,33;2026-07-01
bakery;Пекарня и кондитерская;msk;Москва;13000;2071;10,7;977000;675000;1790000;24,2;48;0,28;2026-07-01
bakery;Пекарня и кондитерская;spb;Санкт-Петербург;5600;604;7,6;941000;664000;1687000;21,4;43;0,31;2026-07-01
bakery;Пекарня и кондитерская;mo;Московская область;8500;1000;10,7;711000;498000;1189000;20,8;39;0,24;2026-07-01
bakery;Пекарня и кондитерская;krd;Краснодарский край;5800;501;11,5;696000;471000;1200000;15,7;37;0,36;2026-07-01
bakery;Пекарня и кондитерская;sverdlovsk;Свердловская область;4200;336;8,2;547000;387000;968000;15,5;40;0,29;2026-07-01
bakery;Пекарня и кондитерская;tatarstan;Республика Татарстан;3900;453;11,5;617000;433000;1046000;19,6;40;0,27;2026-07-01
bakery;Пекарня и кондитерская;nsk;Новосибирская область;2800;253;8,9;609000;405000;1062000;16,5;36;0,26;2026-07-01
bakery;Пекарня и кондитерская;rostov;Ростовская область;4100;364;5,1;637000;445000;1190000;18,9;35;0,3;2026-07-01
bakery;Пекарня и кондитерская;chelyabinsk;Челябинская область;3400;290;5,2;599000;403000;1066000;18,7;38;0,27;2026-07-01
bakery;Пекарня и кондитерская;nnov;Нижегородская область;3100;273;4,9;622000;417000;1103000;17,4;40;0,25;2026-07-01
bakery;Пекарня и кондитерская;samara;Самарская область;3100;241;6,0;535000;390000;979000;17,5;36;0,25;2026-07-01
bakery;Пекарня и кондитерская;lenobl;Ленинградская область;2000;176;7,6;635000;438000;1172000;16,7;41;0,3;2026-07-01
bakery;Пекарня и кондитерская;bashkortostan;Республика Башкортостан;4000;290;8,2;579000;390000;994000;16,0;37;0,29;2026-07-01
bakery;Пекарня и кондитерская;primorye;Приморский край;1850;147;4,2;607000;414000;1149000;17,3;32;0,29;2026-07-01
bakery;Пекарня и кондитерская;kaliningrad;Калининградская область;1030;96;9,5;532000;380000;967000;16,5;41;0,4;2026-07-01
fitness;Фитнес-студия;msk;Москва;13000;1193;15,7;1746000;1083000;3528000;29,5;35;0,39;2026-07-01
fitness;Фитнес-студия;spb;Санкт-Петербург;5600;468;14,1;1112000;682000;2155000;28,5;35;0,42;2026-07-01
fitness;Фитнес-студия;mo;Московская область;8500;608;13,9;1230000;738000;2309000;25,3;27;0,42;2026-07-01
fitness;Фитнес-студия;krd;Краснодарский край;5800;306;12,6;879000;534000;1709000;22,7;25;0,49;2026-07-01
fitness;Фитнес-студия;sverdlovsk;Свердловская область;4200;213;8,6;813000;487000;1568000;23,0;29;0,4;2026-07-01
fitness;Фитнес-студия;tatarstan;Республика Татарстан;3900;200;13,3;1021000;634000;2067000;20,2;31;0,4;2026-07-01
fitness;Фитнес-студия;nsk;Новосибирская область;2800;124;12,2;955000;611000;2027000;20,9;27;0,42;2026-07-01
fitness;Фитнес-студия;rostov;Ростовская область;4100;202;9,8;904000;570000;1697000;22,4;22;0,46;2026-07-01
fitness;Фитнес-студия;chelyabinsk;Челябинская область;3400;139;11,3;735000;438000;1546000;19,5;25;0,39;2026-07-01
fitness;Фитнес-студия;nnov;Нижегородская область;3100;143;8,8;891000;552000;1834000;22,9;26;0,42;2026-07-01
fitness;Фитнес-студия;samara;Самарская область;3100;122;10,0;814000;488000;1592000;19,3;24;0,45;2026-07-01
fitness;Фитнес-студия;lenobl;Ленинградская область;2000;100;11,4;831000;530000;1755000;22,0;28;0,44;2026-07-01
fitness;Фитнес-студия;bashkortostan;Республика Башкортостан;4000;191;9,6;803000;476000;1614000;22,2;28;0,44;2026-07-01
fitness;Фитнес-студия;primorye;Приморский край;1850;76;11,9;853000;523000;1794000;19,1;29;0,44;2026-07-01
fitness;Фитнес-студия;kaliningrad;Калининградская область;1030;56;14,2;800000;491000;1714000;23,0;27;0,54;2026-07-01
autoservice;Автосервис;msk;Москва;13000;3077;3,8;1420000;988000;2508000;22,5;40;0,21;2026-07-01
autoservice;Автосервис;spb;Санкт-Петербург;5600;1153;4,3;1081000;764000;1720000;17,0;38;0,26;2026-07-01
autoservice;Автосервис;mo;Московская область;8500;1541;6,2;865000;614000;1440000;15,5;37;0,23;2026-07-01
autoservice;Автосервис;krd;Краснодарский край;5800;818;6,1;861000;600000;1361000;10,5;36;0,31;2026-07-01
autoservice;Автосервис;sverdlovsk;Свердловская область;4200;654;1,8;828000;584000;1345000;15,9;34;0,24;2026-07-01
autoservice;Автосервис;tatarstan;Республика Татарстан;3900;673;3,4;787000;601000;1282000;14,4;44;0,22;2026-07-01
autoservice;Автосервис;nsk;Новосибирская область;2800;381;4,8;777000;594000;1343000;11,8;39;0,26;2026-07-01
autoservice;Автосервис;rostov;Ростовская область;4100;465;5,0;759000;533000;1212000;10,8;34;0,24;2026-07-01
autoservice;Автосервис;chelyabinsk;Челябинская область;3400;378;2,7;635000;484000;1151000;8,9;38;0,25;2026-07-01
autoservice;Автосервис;nnov;Нижегородская область;3100;474;4,4;696000;501000;1100000;13,6;38;0,26;2026-07-01
autoservice;Автосервис;samara;Самарская область;3100;398;0,2;751000;552000;1359000;12,8;35;0,25;2026-07-01
autoservice;Автосервис;lenobl;Ленинградская область;2000;285;5,9;733000;522000;1276000;12,0;35;0,3;2026-07-01
autoservice;Автосервис;bashkortostan;Республика Башкортостан;4000;520;3,2;634000;452000;1006000;12,4;32;0,27;2026-07-01
autoservice;Автосервис;primorye;Приморский край;1850;239;1,4;767000;564000;1294000;12,5;28;0,29;2026-07-01
autoservice;Автосервис;kaliningrad;Калининградская область;1030;131;4,0;682000;500000;1118000;13,2;39;0,31;2026-07-01
ecommerce;Интернет-магазин;msk;Москва;13000;6685;19,1;1050000;568000;2424000;31,5;93;0,44;2026-07-01
ecommerce;Интернет-магазин;spb;Санкт-Петербург;5600;2877;21,0;738000;384000;1734000;31,3;91;0,49;2026-07-01
ecommerce;Интернет-магазин;mo;Московская область;8500;3350;22,3;689000;362000;1540000;24,7;91;0,44;2026-07-01
ecommerce;Интернет-магазин;krd;Краснодарский край;5800;1721;21,8;518000;262000;1164000;22,0;84;0,54;2026-07-01
ecommerce;Интернет-магазин;sverdlovsk;Свердловская область;4200;1080;18,5;543000;295000;1152000;22,0;83;0,44;2026-07-01
ecommerce;Интернет-магазин;tatarstan;Республика Татарстан;3900;1172;19,5;529000;264000;1266000;23,4;86;0,43;2026-07-01
ecommerce;Интернет-магазин;nsk;Новосибирская область;2800;794;19,5;516000;279000;1089000;22,0;88;0,46;2026-07-01
ecommerce;Интернет-магазин;rostov;Ростовская область;4100;1356;19,5;504000;273000;1137000;23,3;87;0,52;2026-07-01
ecommerce;Интернет-магазин;chelyabinsk;Челябинская область;3400;1015;18,7;477000;259000;1137000;25,5;88;0,48;2026-07-01
ecommerce;Интернет-магазин;nnov;Нижегородская область;3100;1068;15,7;458000;242000;994000;25,1;86;0,44;2026-07-01
ecommerce;Интернет-магазин;samara;Самарская область;3100;1019;14,9;509000;266000;1148000;26,6;84;0,47;2026-07-01
ecommerce;Интернет-магазин;lenobl;Ленинградская область;2000;458;19,3;534000;277000;1153000;19,4;85;0,49;2026-07-01
ecommerce;Интернет-магазин;bashkortostan;Республика Башкортостан;4000;1213;16,4;455000;238000;1020000;24,4;83;0,48;2026-07-01
ecommerce;Интернет-магазин;primorye;Приморский край;1850;455;15,0;494000;263000;1049000;24,9;85;0,52;2026-07-01
ecommerce;Интернет-магазин;kaliningrad;Калининградская область;1030;374;20,9;548000;290000;1197000;25,7;84;0,54;2026-07-01
it_services;IT-услуги и веб-студия;msk;Москва;13000;2388;19,3;1259000;687000;2748000;18,6;97;0,16;2026-07-01
it_services;IT-услуги и веб-студия;spb;Санкт-Петербург;5600;1006;16,8;945000;513000;1971000;18,4;97;0,19;2026-07-01
it_services;IT-услуги и веб-студия;mo;Московская область;8500;1358;16,0;907000;522000;1918000;18,2;94;0,16;2026-07-01
it_services;IT-услуги и веб-студия;krd;Краснодарский край;5800;726;17,9;836000;465000;1809000;13,9;87;0,21;2026-07-01
it_services;IT-услуги и веб-студия;sverdlovsk;Свердловская область;4200;525;13,1;704000;378000;1511000;14,2;87;0,18;2026-07-01
it_services;IT-услуги и веб-студия;tatarstan;Республика Татарстан;3900;423;16,4;702000;399000;1506000;10,5;94;0,14;2026-07-01
it_services;IT-услуги и веб-студия;nsk;Новосибирская область;2800;369;15,1;738000;396000;1649000;14,5;88;0,17;2026-07-01
it_services;IT-услуги и веб-студия;rostov;Ростовская область;4100;412;14,6;588000;314000;1307000;12,7;90;0,18;2026-07-01
it_services;IT-услуги и веб-студия;chelyabinsk;Челябинская область;3400;416;13,8;583000;308000;1240000;14,8;90;0,16;2026-07-01
it_services;IT-услуги и веб-студия;nnov;Нижегородская область;3100;368;13,0;684000;394000;1519000;13,8;93;0,15;2026-07-01
it_services;IT-услуги и веб-студия;samara;Самарская область;3100;343;10,7;667000;356000;1376000;14,1;90;0,17;2026-07-01
it_services;IT-услуги и веб-студия;lenobl;Ленинградская область;2000;202;16,0;631000;340000;1276000;11,8;90;0,2;2026-07-01
it_services;IT-услуги и веб-студия;bashkortostan;Республика Башкортостан;4000;428;16,4;668000;369000;1511000;13,6;88;0,18;2026-07-01
it_services;IT-услуги и веб-студия;primorye;Приморский край;1850;233;13,0;738000;400000;1571000;14,0;86;0,2;2026-07-01
it_services;IT-услуги и веб-студия;kaliningrad;Калининградская область;1030;136;19,0;758000;429000;1653000;13,1;95;0,29;2026-07-01
cleaning;Клининговые услуги;msk;Москва;13000;1209;13,7;629000;445000;1112000;23,3;85;0,16;2026-07-01
cleaning;Клининговые услуги;spb;Санкт-Петербург;5600;472;11,9;494000;336000;831000;21,7;85;0,24;2026-07-01
cleaning;Клининговые услуги;mo;Московская область;8500;809;14,6;467000;340000;782000;20,6;79;0,16;2026-07-01
cleaning;Клининговые услуги;krd;Краснодарский край;5800;488;14,0;371000;268000;693000;20,7;78;0,27;2026-07-01
cleaning;Клининговые услуги;sverdlovsk;Свердловская область;4200;254;11,2;357000;249000;665000;16,0;82;0,22;2026-07-01
cleaning;Клининговые услуги;tatarstan;Республика Татарстан;3900;292;16,2;380000;271000;667000;19,9;83;0,15;2026-07-01
cleaning;Клининговые услуги;nsk;Новосибирская область;2800;194;13,2;415000;288000;729000;16,7;80;0,21;2026-07-01
cleaning;Клининговые услуги;rostov;Ростовская область;4100;265;11,3;330000;239000;594000;19,2;74;0,24;2026-07-01
cleaning;Клининговые услуги;chelyabinsk;Челябинская область;3400;236;12,0;332000;238000;582000;19,2;78;0,21;2026-07-01
cleaning;Клининговые услуги;nnov;Нижегородская область;3100;193;13,8;399000;274000;732000;17,2;75;0,2;2026-07-01
cleaning;Клининговые услуги;samara;Самарская область;3100;166;11,5;353000;242000;647000;17,5;75;0,23;2026-07-01
cleaning;Клининговые услуги;lenobl;Ленинградская область;2000;133;13,7;369000;259000;696000;16,9;82;0,22;2026-07-01
cleaning;Клининговые услуги;bashkortostan;Республика Башкортостан;4000;296;12,5;337000;232000;633000;19,8;79;0,19;2026-07-01
cleaning;Клининговые услуги;primorye;Приморский край;1850;113;10,8;360000;242000;628000;18,9;74;0,24;2026-07-01
cleaning;Клининговые услуги;kaliningrad;Калининградская область;1030;78;15,3;365000;262000;638000;18,1;78;0,3;2026-07-01
food_delivery;Доставка еды и dark kitchen;msk;Москва;13000;790;23,8;1973000;1125000;4144000;33,6;60;0,26;2026-07-01
food_delivery;Доставка еды и dark kitchen;spb;Санкт-Петербург;5600;305;21,8;1466000;836000;3263000;28,9;54;0,28;2026-07-01
food_delivery;Доставка еды и dark kitchen;mo;Московская область;8500;391;25,0;1519000;874000;3303000;25,6;53;0,28;2026-07-01
food_delivery;Доставка еды и dark kitchen;krd;Краснодарский край;5800;278;23,9;1046000;571000;2141000;29,8;53;0,38;2026-07-01
food_delivery;Доставка еды и dark kitchen;sverdlovsk;Свердловская область;4200;142;21,4;1162000;632000;2385000;26,3;50;0,27;2026-07-01
food_delivery;Доставка еды и dark kitchen;tatarstan;Республика Татарстан;3900;188;21,9;1308000;723000;2961000;28,6;58;0,27;2026-07-01
food_delivery;Доставка еды и dark kitchen;nsk;Новосибирская область;2800;98;21,7;1167000;620000;2487000;23,3;50;0,31;2026-07-01
food_delivery;Доставка еды и dark kitchen;rostov;Ростовская область;4100;174;20,7;1045000;591000;2193000;28,5;50;0,32;2026-07-01
food_delivery;Доставка еды и dark kitchen;chelyabinsk;Челябинская область;3400;112;21,2;974000;517000;2054000;25,4;51;0,27;2026-07-01
food_delivery;Доставка еды и dark kitchen;nnov;Нижегородская область;3100;101;20,8;929000;505000;1889000;26,3;49;0,31;2026-07-01
food_delivery;Доставка еды и dark kitchen;samara;Самарская область;3100;105;18,6;952000;502000;2070000;24,2;49;0,31;2026-07-01
food_delivery;Доставка еды и dark kitchen;lenobl;Ленинградская область;2000;69;22,2;1151000;610000;2367000;24,8;52;0,33;2026-07-01
food_delivery;Доставка еды и dark kitchen;bashkortostan;Республика Башкортостан;4000;152;20,9;917000;517000;2105000;26,0;53;0,31;2026-07-01
food_delivery;Доставка еды и dark kitchen;primorye;Приморский край;1850;70;18,9;1166000;644000;2694000;26,1;50;0,34;2026-07-01
food_delivery;Доставка еды и dark kitchen;kaliningrad;Калининградская область;1030;43;26,1;1174000;623000;2523000;26,7;56;0,41;2026-07-01
kids_center;Детский центр и дополнительное образование;msk;Москва;13000;1117;9,1;1090000;754000;1898000;22,3;38;0,58;2026-07-01
kids_center;Детский центр и дополнительное образование;spb;Санкт-Петербург;5600;523;11,7;864000;567000;1586000;24,9;39;0,61;2026-07-01
kids_center;Детский центр и дополнительное образование;mo;Московская область;8500;546;13,4;650000;441000;1174000;16,3;38;0,57;2026-07-01
kids_center;Детский центр и дополнительное образование;krd;Краснодарский край;5800;427;12,2;604000;386000;1172000;19,7;32;0,64;2026-07-01
kids_center;Детский центр и дополнительное образование;sverdlovsk;Свердловская область;4200;269;5,8;580000;403000;1030000;21,4;32;0,57;2026-07-01
kids_center;Детский центр и дополнительное образование;tatarstan;Республика Татарстан;3900;285;10,2;643000;437000;1256000;21,1;36;0,58;2026-07-01
kids_center;Детский центр и дополнительное образование;nsk;Новосибирская область;2800;141;8,5;528000;367000;974000;14,7;35;0,6;2026-07-01
kids_center;Детский центр и дополнительное образование;rostov;Ростовская область;4100;272;6,8;483000;315000;858000;21,6;30;0,6;2026-07-01
kids_center;Детский центр и дополнительное образование;chelyabinsk;Челябинская область;3400;159;8,2;496000;327000;905000;16,5;32;0,59;2026-07-01
kids_center;Детский центр и дополнительное образование;nnov;Нижегородская область;3100;189;7,0;502000;334000;920000;18,5;31;0,55;2026-07-01
kids_center;Детский центр и дополнительное образование;samara;Самарская область;3100;163;6,3;470000;316000;882000;18,3;35;0,56;2026-07-01
kids_center;Детский центр и дополнительное образование;lenobl;Ленинградская область;2000;99;11,1;579000;400000;1126000;14,4;30;0,59;2026-07-01
kids_center;Детский центр и дополнительное образование;bashkortostan;Республика Башкортостан;4000;202;5,9;465000;318000;828000;16,4;31;0,59;2026-07-01
kids_center;Детский центр и дополнительное образование;primorye;Приморский край;1850;83;5,9;591000;411000;1063000;14,5;25;0,62;2026-07-01
kids_center;Детский центр и дополнительное образование;kaliningrad;Калининградская область;1030;71;10,2;584000;401000;1141000;19,3;36;0,67;2026-07-01
flowers;Цветочный магазин;msk;Москва;13000;1436;4,9;684000;418000;1388000;26,9;69;0,7;2026-07-01
flowers;Цветочный магазин;spb;Санкт-Петербург;5600;607;1,6;618000;386000;1223000;30,2;69;0,72;2026-07-01
flowers;Цветочный магазин;mo;Московская область;8500;878;3,8;540000;353000;1077000;28,1;61;0,72;2026-07-01
flowers;Цветочный магазин;krd;Краснодарский край;5800;514;3,4;502000;325000;956000;25,3;58;0,78;2026-07-01
flowers;Цветочный магазин;sverdlovsk;Свердловская область;4200;284;2,9;480000;293000;902000;20,8;58;0,69;2026-07-01
flowers;Цветочный магазин;tatarstan;Республика Татарстан;3900;284;5,2;458000;280000;915000;22,4;67;0,73;2026-07-01
flowers;Цветочный магазин;nsk;Новосибирская область;2800;187;0,8;379000;238000;781000;22,7;64;0,74;2026-07-01
flowers;Цветочный магазин;rostov;Ростовская область;4100;266;0,6;416000;276000;848000;21,8;58;0,72;2026-07-01
flowers;Цветочный магазин;chelyabinsk;Челябинская область;3400;201;-2,4;379000;253000;685000;22,0;62;0,69;2026-07-01
flowers;Цветочный магазин;nnov;Нижегородская область;3100;194;-0,7;375000;239000;682000;22,4;59;0,74;2026-07-01
flowers;Цветочный магазин;samara;Самарская область;3100;202;0,5;425000;261000;877000;22,3;57;0,73;2026-07-01
flowers;Цветочный магазин;lenobl;Ленинградская область;2000;155;4,4;458000;292000;825000;22,5;63;0,77;2026-07-01
flowers;Цветочный магазин;bashkortostan;Республика Башкортостан;4000;303;1,6;359000;238000;651000;25,2;60;0,72;2026-07-01
flowers;Цветочный магазин;primorye;Приморский край;1850;149;2,4;427000;262000;815000;23,8;62;0,73;2026-07-01
flowers;Цветочный магазин;kaliningrad;Калининградская область;1030;89;5,9;427000;285000;880000;25,5;65;0,82;2026-07-01
