client_id,legal_form,okved,business_age_months,history_months,has_rent,rent_amount_avg,equipment_spend_12m,equipment_spend_share,months_since_equipment,headcount,payroll_monthly,offline_txn_per_day,avg_ticket,online_acquiring_share,it_spend_monthly,has_insurance_payments,months_since_insurance,monthly_revenue,fixed_cost_ratio,revenue_volatility,gap_frequency_6m,gap_max_days,cash_buffer_days
23,ИП,96.02,50.0,12.0,1,171111.0,0.0,0.0,,3.0,165000.0,7.5,5343.0,0.1,4663.0,0,,1140408.0,0.257,0.057,3.0,4.0,58.8
24,ИП,47.19,52.0,12.0,1,96429.0,0.0,0.0,,0.0,0.0,4.3,1021.0,0.693,5268.0,0,,435334.0,0.129,0.088,0.0,0.0,74.3
25,самозанятый,96.02,25.0,5.0,0,0.0,0.0,0.0,,0.0,0.0,1.8,6550.0,0.149,0.0,0,,357331.0,0.0,0.145,3.0,15.0,0.0
26,ИП,74.20,48.0,12.0,1,98000.0,350000.0,0.091,1.0,3.0,135000.0,0.1,373419.0,0.521,7627.0,0,,1493617.0,0.118,0.157,0.0,0.0,1308.5
27,ООО,96.02,63.0,12.0,1,66667.0,900000.0,0.059,12.0,8.0,360000.0,9.2,5309.0,0.143,4390.0,0,,1445560.0,0.284,0.168,2.0,70.0,50.3
28,ИП,96.02,22.0,12.0,1,73125.0,1400000.0,0.169,3.0,3.0,240000.0,4.6,2766.0,0.122,4596.0,0,,368303.0,0.784,0.092,2.0,356.0,0.0
29,самозанятый,96.02,82.0,12.0,0,0.0,900000.0,0.244,12.0,0.0,0.0,1.6,5357.0,0.058,0.0,0,,210924.0,0.0,0.235,1.0,354.0,0.0
30,ООО,74.20,83.0,12.0,1,146667.0,700000.0,0.133,4.0,3.0,165000.0,0.5,69468.0,0.427,14888.0,0,,1554804.0,0.153,0.084,0.0,0.0,914.2
31,ИП,74.20,13.0,12.0,1,35000.0,1100000.0,0.247,7.0,3.0,135000.0,0.0,3048201.0,0.765,8313.0,0,,1078697.0,0.139,0.123,0.0,0.0,687.3
32,самозанятый,74.20,95.0,12.0,0,0.0,1100000.0,0.19,3.0,0.0,0.0,0.0,7804555.0,0.631,15061.0,0,,1762369.0,0.0,0.231,0.0,0.0,952.0
33,ИП,96.02,18.0,12.0,1,180000.0,0.0,0.0,,0.0,0.0,6.1,2851.0,0.021,0.0,0,,453189.0,0.132,0.097,2.0,5.0,40.3
34,ИП,96.02,80.0,12.0,0,0.0,0.0,0.0,,2.0,130000.0,1.2,6212.0,0.039,2017.0,0,,176153.0,0.738,0.091,1.0,356.0,0.0
35,ООО,74.20,93.0,12.0,1,160000.0,180000.0,0.015,12.0,8.0,360000.0,0.0,13091898.0,0.796,25839.0,0,,5349158.0,0.082,0.248,0.0,0.0,1591.1
36,ИП,96.02,24.0,12.0,1,55000.0,250000.0,0.023,2.0,1.0,55000.0,10.4,3666.0,0.124,0.0,0,,1117332.0,0.086,0.191,0.0,0.0,91.7
37,ИП,47.19,77.0,12.0,1,67500.0,0.0,0.0,,1.0,80000.0,9.1,2637.0,0.578,0.0,0,,1717346.0,0.079,0.097,0.0,1.0,158.2
38,ООО,96.02,6.0,12.0,1,90000.0,900000.0,0.059,5.0,6.0,390000.0,7.1,5372.0,0.079,1966.0,0,,1072797.0,0.405,0.155,4.0,246.0,0.0
39,самозанятый,96.02,58.0,4.0,0,0.0,250000.0,0.223,1.0,0.0,0.0,2.1,3202.0,0.118,0.0,1,3.0,193219.0,0.0,0.047,3.0,34.0,0.0
40,ИП,74.20,35.0,12.0,1,93333.0,1100000.0,0.247,4.0,2.0,110000.0,0.6,70594.0,0.32,14802.0,0,,1521884.0,0.103,0.139,0.0,0.0,1119.1
41,самозанятый,74.20,66.0,12.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,6481032.0,0.442,2998.0,1,8.0,968668.0,0.0,0.133,0.0,0.0,1328.8
42,ООО,74.20,90.0,12.0,1,188571.0,1100000.0,0.057,4.0,11.0,880000.0,0.0,12253622.0,0.519,8008.0,0,,2121649.0,0.467,0.196,0.0,0.0,117.8
43,самозанятый,96.02,6.0,12.0,0,0.0,900000.0,0.19,9.0,0.0,0.0,1.8,7755.0,0.012,0.0,0,,338976.0,0.0,0.116,1.0,262.0,0.0
44,самозанятый,74.20,28.0,12.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,1047402.0,0.817,3017.0,0,,477973.0,0.0,0.194,0.0,0.0,1589.2
45,ООО,96.02,41.0,12.0,1,187500.0,500000.0,0.051,3.0,5.0,225000.0,6.8,3816.0,0.054,0.0,0,,708972.0,0.494,0.127,7.0,157.0,0.0
46,самозанятый,74.20,66.0,12.0,0,0.0,1100000.0,0.335,10.0,0.0,0.0,0.0,1784469.0,0.844,14753.0,0,,953225.0,0.0,0.292,1.0,6.0,893.4
47,ИП,74.20,15.0,12.0,0,0.0,0.0,0.0,,3.0,195000.0,0.0,2542745.0,0.519,14743.0,1,8.0,440811.0,0.442,0.232,1.0,5.0,128.6
48,самозанятый,96.02,35.0,3.0,0,0.0,0.0,0.0,,0.0,0.0,0.9,9357.0,0.1,2021.0,0,,211482.0,0.0,0.042,3.0,15.0,0.0
49,самозанятый,96.02,8.0,12.0,0,0.0,0.0,0.0,,0.0,0.0,1.6,3544.0,0.133,0.0,0,,153599.0,0.0,0.22,1.0,4.0,16.4
50,ООО,74.20,15.0,12.0,1,45000.0,350000.0,0.023,6.0,12.0,780000.0,0.0,4907172.0,0.557,23388.0,1,8.0,923309.0,0.881,0.258,1.0,356.0,0.0
51,ИП,74.20,23.0,12.0,1,71429.0,350000.0,0.079,3.0,3.0,165000.0,0.5,75406.0,0.386,2971.0,0,,1534314.0,0.135,0.191,0.0,0.0,1143.7
52,ООО,74.20,69.0,12.0,1,61875.0,1100000.0,0.094,2.0,4.0,180000.0,0.0,19085750.0,0.725,24370.0,0,,5794041.0,0.038,0.108,0.0,0.0,1784.0
53,ИП,74.20,69.0,12.0,0,0.0,1100000.0,0.313,10.0,0.0,0.0,0.0,4757108.0,0.598,26383.0,0,,985318.0,0.0,0.199,0.0,0.0,850.0
54,самозанятый,74.20,56.0,12.0,0,0.0,700000.0,0.344,7.0,0.0,0.0,0.0,1624340.0,0.732,23536.0,0,,504732.0,0.0,0.245,0.0,0.0,711.4
55,ООО,96.02,84.0,12.0,0,0.0,250000.0,0.046,6.0,4.0,220000.0,1.8,7050.0,0.091,0.0,0,,326228.0,0.674,0.189,5.0,310.0,0.0
56,ИП,47.19,75.0,12.0,1,235714.0,400000.0,0.027,8.0,2.0,90000.0,28.5,1522.0,0.259,0.0,0,,1775555.0,0.128,0.104,0.0,0.0,164.8
57,ИП,47.19,85.0,12.0,1,77143.0,400000.0,0.044,1.0,0.0,0.0,10.1,2607.0,0.154,12361.0,0,,926923.0,0.049,0.165,0.0,0.0,83.7
58,ООО,74.20,67.0,12.0,1,77143.0,1100000.0,0.083,1.0,11.0,605000.0,0.0,2658409.0,0.913,25352.0,0,,2555664.0,0.254,0.156,0.0,0.0,468.1
59,ИП,96.02,61.0,12.0,0,0.0,1400000.0,0.454,11.0,1.0,55000.0,0.2,25431.0,0.018,1962.0,0,,47468.0,1.159,0.367,1.0,361.0,0.0
60,ИП,96.02,20.0,2.0,0,80000.0,0.0,0.0,,1.0,45000.0,7.3,5309.0,0.061,0.0,0,,1068836.0,0.08,0.006,0.0,2.0,6.2
61,ООО,74.20,31.0,12.0,1,72000.0,180000.0,0.01,4.0,12.0,960000.0,0.1,228401.0,0.619,24344.0,0,,1598889.0,0.638,0.079,7.0,10.0,16.1
62,ООО,96.02,33.0,12.0,1,106667.0,500000.0,0.035,3.0,10.0,650000.0,6.7,2676.0,0.139,4583.0,0,,536824.0,1.36,0.11,1.0,356.0,0.0
63,ИП,47.19,65.0,12.0,1,65000.0,0.0,0.0,,0.0,0.0,11.2,2615.0,0.252,5273.0,0,,1166084.0,0.042,0.135,0.0,0.0,127.2
64,самозанятый,74.20,29.0,12.0,0,0.0,700000.0,0.217,6.0,0.0,0.0,0.0,3273284.0,0.741,7778.0,0,,1053048.0,0.0,0.244,0.0,0.0,1052.3
65,ИП,96.02,68.0,12.0,1,97778.0,500000.0,0.065,6.0,2.0,110000.0,9.3,2623.0,0.098,0.0,0,,699126.0,0.262,0.123,0.0,0.0,35.6
66,ИП,74.20,73.0,12.0,1,46667.0,350000.0,0.07,5.0,0.0,0.0,0.5,150058.0,0.39,2774.0,0,,2911649.0,0.008,0.131,0.0,0.0,2157.9
67,ИП,96.02,5.0,12.0,1,65000.0,1400000.0,0.162,12.0,3.0,195000.0,6.2,3774.0,0.115,0.0,0,,660389.0,0.369,0.179,1.0,356.0,0.0
68,самозанятый,74.20,71.0,12.0,0,0.0,180000.0,0.069,5.0,0.0,0.0,0.0,1140796.0,0.9,2867.0,0,,946179.0,0.0,0.221,0.0,0.0,1203.8
69,ООО,96.02,65.0,12.0,1,123750.0,500000.0,0.061,12.0,4.0,320000.0,6.1,2733.0,0.112,0.0,0,,489710.0,0.822,0.095,1.0,356.0,0.0
70,ИП,47.19,16.0,12.0,1,151250.0,200000.0,0.13,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,1210000.0,0.0,1.0,363.0,0.0
71,ИП,74.20,71.0,12.0,1,50556.0,700000.0,0.202,7.0,0.0,0.0,0.1,273037.0,0.511,25815.0,0,,1627928.0,0.023,0.08,0.0,0.0,1672.9
72,ИП,96.02,71.0,12.0,1,124444.0,900000.0,0.081,2.0,3.0,135000.0,6.5,5336.0,0.076,0.0,0,,963093.0,0.237,0.09,6.0,20.0,15.5
73,ИП,47.19,4.0,5.0,1,45000.0,0.0,0.0,,0.0,0.0,22.7,2565.0,0.162,11716.0,0,,2123296.0,0.013,0.056,0.0,0.0,158.3
74,ИП,47.19,48.0,4.0,0,120000.0,0.0,0.0,,2.0,130000.0,11.5,936.0,0.322,4457.0,0,,475967.0,0.399,0.19,0.0,1.0,5.8
75,ИП,74.20,29.0,12.0,1,70000.0,0.0,0.0,,3.0,195000.0,0.0,3390432.0,0.85,14255.0,0,,1887618.0,0.134,0.276,0.0,0.0,958.1
76,ИП,74.20,30.0,12.0,1,46667.0,180000.0,0.033,6.0,3.0,135000.0,0.0,4717745.0,0.747,7347.0,1,2.0,1551548.0,0.11,0.222,0.0,0.0,864.4
77,ООО,96.02,48.0,12.0,1,124444.0,900000.0,0.064,11.0,3.0,240000.0,6.5,5381.0,0.066,0.0,0,,956399.0,0.349,0.156,1.0,364.0,0.0
78,ООО,74.20,8.0,12.0,1,72000.0,180000.0,0.012,4.0,11.0,715000.0,0.1,1856551.0,0.543,23829.0,0,,5751069.0,0.13,0.157,0.0,0.0,1251.1
79,ООО,74.20,40.0,12.0,1,110000.0,700000.0,0.068,1.0,6.0,480000.0,0.0,3840979.0,0.343,14880.0,0,,487204.0,1.136,0.265,1.0,361.0,0.0
80,ИП,74.20,95.0,12.0,0,0.0,1100000.0,0.254,8.0,3.0,165000.0,0.0,433975.0,0.925,2896.0,0,,479188.0,0.344,0.208,2.0,3.0,117.9
81,ООО,96.02,5.0,12.0,1,214286.0,900000.0,0.056,2.0,11.0,715000.0,7.1,2680.0,0.137,0.0,0,,572895.0,1.466,0.078,1.0,359.0,0.0
82,ООО,96.02,4.0,12.0,1,235714.0,900000.0,0.113,2.0,3.0,240000.0,1.3,8329.0,0.043,4298.0,1,8.0,265490.0,1.422,0.235,1.0,356.0,0.0
83,ООО,96.02,66.0,12.0,1,52500.0,500000.0,0.051,6.0,10.0,450000.0,4.5,4134.0,0.04,0.0,0,,491138.0,0.97,0.112,1.0,356.0,0.0
84,ООО,96.02,46.0,12.0,1,70714.0,0.0,0.0,,4.0,260000.0,8.2,5262.0,0.111,0.0,1,6.0,1240599.0,0.243,0.135,0.0,0.0,69.7
85,ООО,96.02,22.0,12.0,1,60000.0,0.0,0.0,,12.0,780000.0,5.5,5410.0,0.141,0.0,0,,882181.0,0.918,0.137,1.0,357.0,0.0
86,самозанятый,74.20,51.0,12.0,0,0.0,350000.0,0.08,12.0,0.0,0.0,0.0,1057106.0,0.949,25928.0,0,,1722700.0,0.0,0.222,0.0,0.0,1334.3
87,самозанятый,74.20,59.0,12.0,0,0.0,1100000.0,0.195,9.0,0.0,0.0,0.0,7613973.0,0.334,7744.0,0,,1905353.0,0.0,0.202,0.0,0.0,1096.2
88,самозанятый,74.20,10.0,4.0,0,0.0,700000.0,0.65,4.0,0.0,0.0,0.0,946640.0,0.566,8306.0,0,,545545.0,0.0,0.151,1.0,39.0,123.2
89,ИП,74.20,56.0,12.0,1,190000.0,700000.0,0.13,11.0,3.0,165000.0,0.6,73716.0,0.329,3079.0,0,,1529135.0,0.17,0.15,0.0,0.0,864.9
90,ИП,47.19,34.0,12.0,1,60000.0,200000.0,0.04,6.0,2.0,90000.0,8.5,954.0,0.563,12271.0,0,,559892.0,0.196,0.131,0.0,0.0,120.6
91,ООО,96.02,12.0,12.0,1,200000.0,500000.0,0.034,1.0,9.0,585000.0,7.4,3748.0,0.09,4687.0,1,4.0,774820.0,0.949,0.082,1.0,362.0,0.0
92,самозанятый,96.02,20.0,12.0,0,0.0,500000.0,0.219,9.0,0.0,0.0,1.8,3797.0,0.013,0.0,0,,168610.0,0.0,0.122,1.0,262.0,0.0
93,самозанятый,74.20,65.0,5.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,5655272.0,0.312,16402.0,0,,1643497.0,0.0,0.218,0.0,0.0,468.4
94,ООО,96.02,47.0,12.0,1,281250.0,1400000.0,0.075,2.0,10.0,800000.0,5.1,3884.0,0.07,0.0,0,,547209.0,1.805,0.11,1.0,361.0,0.0
95,самозанятый,74.20,51.0,12.0,0,0.0,1100000.0,0.202,1.0,0.0,0.0,0.0,2938634.0,0.873,15541.0,1,10.0,1934975.0,0.0,0.21,0.0,0.0,1177.4
96,ИП,74.20,5.0,12.0,0,0.0,1100000.0,0.177,4.0,2.0,90000.0,0.0,2923983.0,0.875,24130.0,1,4.0,1956671.0,0.046,0.255,0.0,1.0,997.5
97,ИП,74.20,14.0,2.0,0,95000.0,700000.0,0.61,2.0,0.0,0.0,0.4,76804.0,0.44,29238.0,0,,1303538.0,0.073,0.348,1.0,3.0,76.4
98,ИП,96.02,39.0,12.0,1,98182.0,500000.0,0.067,9.0,1.0,55000.0,4.8,3845.0,0.129,4256.0,0,,539121.0,0.269,0.062,4.0,277.0,0.0
99,ИП,96.02,54.0,12.0,1,172857.0,900000.0,0.122,8.0,2.0,130000.0,5.9,2726.0,0.119,4617.0,0,,463202.0,0.498,0.176,2.0,341.0,0.0
100,самозанятый,74.20,55.0,12.0,0,0.0,350000.0,0.138,3.0,0.0,0.0,0.0,1675425.0,0.861,8362.0,0,,1002033.0,0.0,0.168,0.0,0.0,1350.3
101,ИП,74.20,27.0,12.0,1,50556.0,180000.0,0.029,5.0,3.0,195000.0,0.0,8412735.0,0.61,14362.0,0,,1799027.0,0.129,0.266,0.0,0.0,884.4
102,самозанятый,96.02,96.0,12.0,0,0.0,1400000.0,0.409,2.0,0.0,0.0,0.9,7193.0,0.055,4571.0,0,,129353.0,0.0,0.241,4.0,246.0,0.0
103,ИП,96.02,61.0,3.0,0,120000.0,0.0,0.0,,0.0,0.0,5.2,3895.0,0.079,0.0,0,,545454.0,0.073,0.225,1.0,6.0,38.5
104,ИП,96.02,58.0,12.0,1,216667.0,500000.0,0.059,4.0,2.0,130000.0,5.0,3968.0,0.057,2048.0,0,,532412.0,0.549,0.18,4.0,327.0,0.0
105,ИП,74.20,56.0,5.0,1,112000.0,0.0,0.0,,0.0,0.0,0.0,168861.0,0.937,14864.0,0,,539577.0,0.208,0.228,1.0,12.0,322.0
106,ООО,96.02,68.0,12.0,1,84000.0,500000.0,0.064,4.0,4.0,180000.0,2.5,6794.0,0.045,1926.0,1,9.0,439689.0,0.569,0.189,1.0,361.0,0.0
107,ИП,96.02,65.0,12.0,1,171111.0,1400000.0,0.109,2.0,3.0,240000.0,11.8,3657.0,0.085,0.0,0,,1203441.0,0.306,0.181,1.0,11.0,43.3
108,ИП,47.19,52.0,12.0,1,151111.0,0.0,0.0,,2.0,90000.0,12.9,1569.0,0.427,0.0,0,,1070579.0,0.19,0.138,0.0,0.0,208.3
109,самозанятый,74.20,23.0,12.0,0,0.0,700000.0,0.237,11.0,0.0,0.0,0.0,7806106.0,0.375,2877.0,0,,1040938.0,0.0,0.25,0.0,0.0,1163.6
110,ИП,96.02,74.0,4.0,0,150000.0,0.0,0.0,,3.0,195000.0,8.2,2748.0,0.022,4651.0,0,,595804.0,0.453,0.108,2.0,6.0,12.4
111,ИП,74.20,39.0,2.0,0,0.0,0.0,0.0,,2.0,90000.0,0.0,295525.0,0.863,2855.0,0,,1077350.0,0.084,0.499,0.0,0.0,243.5
112,самозанятый,74.20,80.0,12.0,0,0.0,350000.0,0.074,5.0,0.0,0.0,0.0,7341869.0,0.671,2969.0,0,,1857508.0,0.0,0.163,1.0,32.0,1336.5
113,ООО,96.02,79.0,12.0,0,0.0,250000.0,0.015,1.0,11.0,880000.0,1.6,7233.0,0.097,1994.0,0,,308364.0,2.854,0.13,1.0,356.0,0.0
114,ООО,74.20,72.0,2.0,0,165000.0,0.0,0.0,,8.0,440000.0,0.0,722221.0,0.778,14909.0,0,,1625998.0,0.372,0.115,1.0,7.0,51.2
115,ИП,96.02,35.0,12.0,1,130000.0,0.0,0.0,,0.0,0.0,2.1,6828.0,0.077,0.0,1,1.0,388523.0,0.223,0.133,5.0,87.0,0.0
116,самозанятый,74.20,58.0,12.0,0,0.0,1100000.0,0.485,4.0,0.0,0.0,0.0,2719908.0,0.527,15554.0,0,,479521.0,0.0,0.312,0.0,0.0,553.0
117,ИП,47.19,91.0,12.0,1,73333.0,0.0,0.0,,2.0,130000.0,19.3,2572.0,0.414,11398.0,0,,2549355.0,0.073,0.147,0.0,0.0,174.4
118,ИП,96.02,22.0,12.0,1,137500.0,500000.0,0.05,8.0,2.0,130000.0,9.5,3676.0,0.051,4394.0,0,,953948.0,0.232,0.126,0.0,2.0,49.0
119,самозанятый,74.20,44.0,12.0,0,0.0,180000.0,0.039,4.0,0.0,0.0,0.0,10165969.0,0.484,3139.0,1,5.0,1641574.0,0.0,0.297,0.0,0.0,1179.1
120,самозанятый,74.20,6.0,12.0,0,0.0,350000.0,0.126,10.0,0.0,0.0,0.0,2996941.0,0.76,2934.0,0,,1042755.0,0.0,0.179,0.0,0.0,1266.4
121,ИП,74.20,19.0,12.0,0,0.0,700000.0,0.318,11.0,1.0,45000.0,0.0,2419760.0,0.592,2944.0,0,,494329.0,0.091,0.18,1.0,25.0,611.2
122,самозанятый,96.02,75.0,2.0,0,0.0,250000.0,0.461,1.0,0.0,0.0,0.3,15187.0,0.085,1978.0,0,,91312.0,0.0,0.159,2.0,34.0,0.0
123,ИП,96.02,78.0,12.0,1,150000.0,250000.0,0.021,9.0,2.0,130000.0,12.1,3664.0,0.04,4342.0,0,,1196208.0,0.15,0.121,0.0,0.0,81.4
124,самозанятый,96.02,73.0,12.0,0,0.0,0.0,0.0,,0.0,0.0,0.8,4928.0,0.095,1981.0,0,,98961.0,0.0,0.209,3.0,185.0,0.0
125,самозанятый,74.20,25.0,12.0,0,0.0,1100000.0,0.196,8.0,0.0,0.0,0.0,8633443.0,0.552,14595.0,0,,1607241.0,0.0,0.209,0.0,0.0,874.9
126,самозанятый,74.20,75.0,12.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,2890299.0,0.528,15349.0,0,,510423.0,0.0,0.23,1.0,3.0,1366.9
127,ИП,74.20,65.0,12.0,1,166250.0,350000.0,0.085,1.0,1.0,80000.0,0.0,7325035.0,0.413,26035.0,1,8.0,1039566.0,0.184,0.256,0.0,1.0,731.2
128,ИП,47.19,53.0,12.0,1,86667.0,400000.0,0.027,10.0,3.0,195000.0,13.6,2589.0,0.206,4826.0,0,,1341897.0,0.194,0.092,1.0,4.0,32.7
129,ООО,96.02,76.0,12.0,1,166667.0,900000.0,0.062,5.0,4.0,180000.0,6.5,5627.0,0.028,0.0,0,,967129.0,0.315,0.103,3.0,277.0,0.0
130,самозанятый,74.20,59.0,12.0,0,0.0,700000.0,0.371,7.0,0.0,0.0,0.0,1618410.0,0.702,7535.0,0,,453150.0,0.0,0.379,2.0,7.0,676.8
131,ООО,96.02,39.0,3.0,0,90000.0,0.0,0.0,,3.0,165000.0,10.6,3659.0,0.129,0.0,0,,1142081.0,0.197,0.006,0.0,1.0,26.9
132,ООО,96.02,80.0,12.0,1,84000.0,0.0,0.0,,10.0,550000.0,6.2,3950.0,0.028,1947.0,0,,628960.0,0.986,0.182,1.0,356.0,0.0
133,ИП,96.02,87.0,12.0,1,133333.0,0.0,0.0,,0.0,0.0,11.5,5184.0,0.121,0.0,0,,1701679.0,0.039,0.168,3.0,11.0,161.2
134,ООО,74.20,93.0,12.0,1,195556.0,350000.0,0.028,1.0,7.0,455000.0,0.0,6260860.0,0.894,14184.0,0,,4901405.0,0.123,0.179,0.0,0.0,1337.4
135,ИП,96.02,39.0,12.0,1,57857.0,250000.0,0.028,10.0,0.0,0.0,5.9,5399.0,0.132,1966.0,0,,942453.0,0.036,0.085,0.0,2.0,96.2
136,самозанятый,74.20,70.0,12.0,0,0.0,1100000.0,0.191,7.0,0.0,0.0,0.0,4563156.0,0.806,3024.0,0,,1960258.0,0.0,0.184,0.0,0.0,1110.4
137,ООО,74.20,4.0,12.0,1,195000.0,700000.0,0.066,11.0,7.0,385000.0,0.0,6009445.0,0.719,3149.0,0,,1784754.0,0.307,0.202,1.0,4.0,368.8
138,самозанятый,96.02,93.0,12.0,0,0.0,0.0,0.0,,0.0,0.0,0.8,9659.0,0.128,1949.0,1,10.0,193873.0,0.0,0.12,5.0,246.0,0.0
139,ООО,74.20,31.0,12.0,0,0.0,0.0,0.0,,5.0,325000.0,0.0,9697467.0,0.556,3050.0,0,,1822099.0,0.178,0.228,0.0,0.0,750.3
140,ООО,74.20,74.0,12.0,1,100000.0,350000.0,0.047,9.0,6.0,330000.0,0.0,4936497.0,0.603,3062.0,0,,1037250.0,0.382,0.248,0.0,0.0,236.2
141,ООО,74.20,40.0,12.0,1,112000.0,350000.0,0.03,3.0,10.0,550000.0,0.0,5719971.0,0.476,2933.0,0,,908869.0,0.708,0.319,7.0,81.0,0.0
142,ООО,96.02,72.0,12.0,1,112500.0,900000.0,0.077,8.0,7.0,455000.0,7.6,2652.0,0.118,4442.0,0,,580977.0,0.912,0.134,2.0,356.0,0.0
143,самозанятый,74.20,30.0,2.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,327717.0,0.858,22478.0,0,,1155942.0,0.0,0.008,0.0,0.0,348.4
144,ИП,74.20,53.0,5.0,1,75000.0,0.0,0.0,,3.0,165000.0,0.6,75733.0,0.351,14216.0,0,,1586399.0,0.142,0.063,0.0,0.0,488.7
145,ООО,96.02,61.0,2.0,0,45000.0,0.0,0.0,,11.0,880000.0,8.7,5258.0,0.0,1836.0,0,,1148861.0,0.805,0.259,3.0,22.0,0.0
146,самозанятый,74.20,24.0,5.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,697694.0,0.846,24989.0,0,,907258.0,0.0,0.224,1.0,4.0,541.6
147,ИП,96.02,96.0,3.0,0,150000.0,0.0,0.0,,3.0,165000.0,8.2,2708.0,0.122,2082.0,0,,639586.0,0.414,0.205,2.0,34.0,0.0
