avg_daily_income_30d,avg_daily_income_10d,income_volatility,income_trend,current_balance,upcoming_fixed_expenses_30d,n_recurring_patterns,avg_pattern_confidence,business_age_months,account_age_days,industry,gap_within_21d
9405.77,9396.28,0.174,0.999,676.65,154565.58,4,0.39,25,760,Services,0
8908.06,11303.24,0.781,1.269,17489.55,61966.38,2,0.346,18,540,Beauty,0
1764.64,1179.71,0.556,0.669,20930.75,70224.79,2,0.908,35,1070,Beauty,1
2771.44,2717.27,0.425,0.98,6866.35,89089.9,2,0.846,13,397,Retail,0
8314.69,9269.42,0.338,1.115,-2596.55,114912.56,3,0.637,28,848,Beauty,0
9666.63,11080.33,0.391,1.146,13862.94,89743.48,3,0.907,30,908,IT,0
6540.08,4519.73,0.214,0.691,24082.37,48325.35,1,0.306,20,600,HoReCa,0
3792.87,3152.52,0.14,0.831,23098.17,85263.7,4,0.372,20,618,IT,0
9413.06,9191.98,0.583,0.977,1470.25,114344.84,4,0.723,27,818,IT,0
3431.79,3100.45,0.151,0.903,15046.38,43689.18,1,0.65,35,1070,HoReCa,0
4146.12,4213.08,0.527,1.016,3178.72,93037.25,3,0.902,8,246,Retail,0
8134.47,9131.87,0.292,1.123,7712.15,46047.91,1,0.837,27,819,Beauty,0
3830.37,1477.21,0.156,0.386,21825.73,52102.77,2,0.54,32,966,Beauty,0
1510.51,1935.32,0.311,1.281,9246.6,119006.41,4,0.838,16,480,HoReCa,1
2036.43,1073.92,0.182,0.527,5250.24,0.0,0,0.0,34,1040,IT,0
2974.96,1922.12,0.586,0.646,24268.31,46656.59,1,0.393,35,1071,Services,0
5619.11,5166.76,0.628,0.919,3920.65,27528.84,2,0.848,2,73,HoReCa,0
1663.13,1763.4,0.282,1.06,-886.71,99886.7,4,0.861,21,642,Retail,1
5362.21,2134.6,0.691,0.398,9647.23,106712.9,3,0.867,11,358,HoReCa,1
7098.88,7871.83,0.76,1.109,-2707.49,0.0,0,0.0,17,519,HoReCa,0
9751.37,10568.96,0.76,1.084,5645.24,12624.6,1,0.762,11,337,IT,0
2891.31,3551.45,0.292,1.228,15279.47,88038.58,2,0.5,25,779,IT,0
7355.53,6886.91,0.711,0.936,17833.65,34227.99,1,0.868,23,701,Retail,0
4827.97,4806.81,0.389,0.996,-4903.45,69652.04,3,0.912,26,808,Retail,1
2385.17,2392.19,0.258,1.003,-3415.88,36170.34,1,0.722,24,747,Retail,1
7411.03,9500.72,0.622,1.282,1295.26,75931.27,3,0.53,22,682,Retail,0
9467.5,8815.86,0.594,0.931,-3504.74,50741.34,1,0.846,10,303,Services,0
7142.21,6143.5,0.774,0.86,23104.67,46909.81,1,0.851,32,973,Beauty,0
5143.36,4959.17,0.199,0.964,1482.71,29727.89,1,0.588,1,58,Beauty,0
3900.66,4284.27,0.374,1.098,6157.98,0.0,0,0.0,8,266,Retail,0
7061.49,5227.78,0.206,0.74,13458.94,95242.94,2,0.654,32,975,Services,0
7865.02,7243.13,0.556,0.921,5571.25,122946.11,4,0.818,18,541,Beauty,0
2595.21,2860.85,0.389,1.102,9372.1,0.0,0,0.0,8,264,IT,0
3535.84,1183.34,0.656,0.335,12484.21,34947.42,1,0.761,16,495,HoReCa,0
7043.91,6344.1,0.765,0.901,17307.82,0.0,0,0.0,3,97,IT,0
2467.63,1992.39,0.342,0.807,21226.68,130713.98,4,0.416,17,517,Services,1
1844.75,1026.96,0.71,0.557,14958.76,0.0,0,0.0,23,693,Services,0
4792.84,3373.67,0.696,0.704,-2671.56,0.0,0,0.0,28,860,HoReCa,0
6014.23,5293.85,0.689,0.88,11790.65,88289.97,3,0.984,5,152,Retail,0
4410.81,5585.92,0.289,1.266,11731.26,51166.64,2,1.0,21,642,Retail,0
5681.41,4496.37,0.312,0.791,10673.32,63169.24,2,0.704,32,978,IT,0
3205.53,1249.56,0.796,0.39,-4930.47,89884.66,2,0.818,19,574,Retail,1
8035.84,8567.14,0.561,1.066,20377.64,12906.99,1,0.579,8,241,Services,0
6629.69,6283.74,0.35,0.948,-1312.38,0.0,0,0.0,13,412,Services,0
2373.36,2570.39,0.232,1.083,16451.16,0.0,0,0.0,15,472,IT,0
3866.73,3774.35,0.191,0.976,23319.47,0.0,0,0.0,33,1010,Services,0
7765.32,2734.94,0.782,0.352,15465.82,0.0,0,0.0,18,543,IT,0
2567.18,2747.29,0.112,1.07,19214.67,16541.74,1,0.605,12,380,IT,0
2007.59,1771.11,0.57,0.882,24706.27,144216.23,4,0.844,15,466,Services,1
3709.19,4515.89,0.342,1.217,3715.14,84603.76,3,0.783,11,347,IT,0
9314.79,4787.4,0.223,0.514,-4609.11,114078.1,3,0.789,25,760,Retail,1
8071.26,4294.23,0.317,0.532,8747.04,0.0,0,0.0,8,266,Services,0
9582.89,6297.12,0.504,0.657,18626.47,88661.11,3,0.893,35,1050,Retail,0
2086.56,1683.69,0.759,0.807,7282.36,70896.8,2,0.786,27,833,IT,1
3458.54,3560.03,0.101,1.029,24005.36,82032.35,2,0.894,20,622,Services,0
7522.16,9571.35,0.22,1.272,8464.41,40768.84,1,0.8,1,56,Services,0
9719.8,7822.45,0.136,0.805,16553.62,166190.57,4,0.916,33,1014,HoReCa,0
4325.88,2915.3,0.14,0.674,23333.46,145530.16,4,0.85,22,688,Retail,1
3245.33,1845.08,0.438,0.569,3623.85,40419.61,1,0.401,3,112,Retail,0
5327.16,3723.87,0.77,0.699,20194.05,42752.19,1,0.45,9,275,HoReCa,0
9587.67,10595.24,0.687,1.105,19689.51,66293.49,2,0.578,30,905,Beauty,0
2044.05,1210.86,0.677,0.592,8317.58,0.0,0,0.0,15,462,Services,0
8208.99,9963.98,0.315,1.214,23584.45,84030.07,3,0.462,24,736,IT,0
2871.58,916.41,0.158,0.319,-27.55,49438.14,1,0.385,30,914,Beauty,1
4143.52,2252.95,0.217,0.544,3028.02,116726.05,3,0.828,28,840,HoReCa,1
3231.17,2735.78,0.329,0.847,12262.28,96424.8,4,0.536,1,53,Beauty,0
5463.63,3758.03,0.153,0.688,19106.13,38975.4,2,0.329,15,455,Beauty,0
8068.88,2956.95,0.484,0.366,17995.45,33757.52,1,0.665,34,1049,IT,0
5111.23,4125.07,0.735,0.807,637.61,0.0,0,0.0,2,85,Retail,0
4630.95,1533.54,0.403,0.331,2787.29,112788.25,4,0.767,20,605,IT,1
9967.34,11411.32,0.678,1.145,2470.26,101922.17,4,0.824,7,238,Services,0
3445.44,4231.63,0.518,1.228,22874.19,105542.39,3,0.987,25,753,Beauty,0
8624.32,10874.58,0.662,1.261,11078.05,26888.7,1,0.408,15,454,HoReCa,0
3204.7,3176.54,0.251,0.991,13091.19,0.0,0,0.0,35,1057,HoReCa,0
8376.7,5383.25,0.203,0.643,20939.77,46977.77,1,0.795,26,793,IT,0
8003.86,2527.81,0.758,0.316,10682.8,152114.22,4,0.553,17,512,Services,1
8451.78,8758.07,0.457,1.036,10386.91,148275.55,3,0.496,17,515,Services,0
4700.51,2657.53,0.262,0.565,11630.12,104413.17,4,0.504,20,607,Beauty,0
8633.03,2805.49,0.212,0.325,8471.16,0.0,0,0.0,9,284,HoReCa,0
6576.99,3237.92,0.557,0.492,3869.64,134601.13,4,0.974,28,859,Retail,1
2709.17,3114.28,0.319,1.15,-2330.31,0.0,0,0.0,35,1061,Retail,1
3187.17,1721.04,0.215,0.54,16303.98,110295.01,4,0.763,4,145,Beauty,1
7938.45,4754.0,0.307,0.599,-1788.28,0.0,0,0.0,20,601,Beauty,0
4277.75,4819.11,0.108,1.127,19029.42,61521.06,4,0.71,10,304,Retail,0
6237.14,7076.6,0.209,1.135,5750.04,137822.59,4,0.877,17,536,HoReCa,0
9491.56,5881.46,0.133,0.62,8145.3,82099.7,2,0.825,32,965,Retail,0
8579.9,9821.12,0.478,1.145,7939.05,104011.67,3,0.475,23,715,Retail,0
5046.14,2376.41,0.212,0.471,7544.34,0.0,0,0.0,23,699,IT,0
3807.68,2569.13,0.733,0.675,11496.06,121014.28,3,0.457,15,473,Retail,1
1936.0,1436.72,0.445,0.742,5032.04,92752.47,3,0.446,7,214,Beauty,1
3779.48,2677.6,0.353,0.708,15390.92,151971.21,4,0.473,25,771,IT,1
8521.55,9581.21,0.571,1.124,6909.76,83857.41,3,0.324,15,461,IT,0
7250.11,6547.94,0.516,0.903,15475.97,48573.59,3,0.313,3,99,IT,0
4583.41,5224.26,0.483,1.14,-1175.43,51111.6,1,0.585,24,743,Services,0
2504.86,2535.26,0.1,1.012,5697.89,27294.86,2,0.871,14,432,Retail,0
6875.37,6039.96,0.19,0.878,15802.66,148628.67,4,0.365,33,1000,Services,0
3114.46,2667.42,0.591,0.856,5758.65,180585.33,4,0.883,4,141,Retail,1
7928.16,5647.07,0.418,0.712,23041.9,128451.12,4,0.343,32,978,Retail,0
6195.11,7260.13,0.517,1.172,12309.45,114630.29,4,0.715,4,144,Beauty,0
9579.53,12285.95,0.115,1.283,-2416.04,102327.35,4,0.567,12,381,Services,0
6115.48,5658.84,0.362,0.925,-4629.77,34177.39,2,0.571,10,305,Retail,0
9463.89,10377.0,0.789,1.096,17702.74,0.0,0,0.0,25,753,HoReCa,0
9936.37,11668.36,0.268,1.174,19918.68,111432.73,3,0.729,19,593,Retail,0
8976.61,11593.59,0.735,1.292,1249.46,70192.01,2,0.593,22,689,IT,0
4211.88,5088.02,0.391,1.208,2277.35,84913.19,4,0.343,25,768,Beauty,0
6731.08,2610.23,0.157,0.388,154.88,0.0,0,0.0,6,199,Services,0
7960.05,5657.07,0.319,0.711,1290.71,162926.91,4,0.784,9,287,IT,1
3050.89,2221.61,0.776,0.728,13960.58,50763.84,2,0.752,17,514,IT,0
1957.06,1039.75,0.569,0.531,2307.13,10993.18,1,0.424,25,778,Services,0
5417.64,6119.56,0.68,1.13,16281.66,86963.74,2,0.788,17,526,Beauty,0
8887.99,6825.8,0.471,0.768,7321.28,98170.06,2,0.771,14,430,Services,0
4686.01,4773.73,0.535,1.019,-1681.89,83149.8,3,0.825,27,833,Beauty,0
6222.17,4463.75,0.304,0.717,6306.01,81718.03,2,0.531,22,661,Retail,0
7913.56,7060.65,0.412,0.892,16028.06,22584.5,1,0.652,4,125,Services,0
7420.77,8313.67,0.747,1.12,11855.91,77585.16,3,0.718,32,963,Retail,1
9725.81,8406.95,0.56,0.864,22988.7,0.0,0,0.0,10,314,HoReCa,0
4876.81,5424.6,0.272,1.112,5285.17,0.0,0,0.0,2,80,Services,0
4489.02,3900.76,0.737,0.869,17865.24,0.0,0,0.0,3,113,Services,0
1728.38,701.94,0.366,0.406,10940.7,52985.34,1,0.599,26,809,HoReCa,1
7457.36,5356.55,0.699,0.718,4282.38,99872.22,3,0.384,12,371,Retail,0
7486.85,7776.92,0.75,1.039,4188.04,51717.76,1,0.669,11,343,HoReCa,0
8776.01,9698.52,0.625,1.105,-894.65,106386.34,3,0.816,14,441,Services,0
5463.15,3836.81,0.654,0.702,7748.61,147679.31,4,0.37,26,784,Beauty,1
8016.07,10181.0,0.776,1.27,20952.13,129407.1,4,0.637,23,712,Beauty,0
7013.81,6477.29,0.729,0.924,-1061.36,47713.63,1,0.633,13,396,Services,0
2237.01,2714.0,0.477,1.213,6639.18,66247.24,2,0.826,33,999,Services,0
6669.8,6952.4,0.411,1.042,1849.94,65782.28,3,0.765,29,886,IT,0
6447.6,7507.36,0.658,1.164,8706.64,114311.08,3,0.905,26,797,IT,0
5382.21,1897.13,0.33,0.352,8507.09,41354.55,1,0.989,10,318,Services,0
9677.5,7285.46,0.456,0.753,3360.83,73787.02,3,0.967,16,498,IT,0
7407.25,9557.46,0.461,1.29,13340.25,0.0,0,0.0,24,749,Retail,0
3575.25,4382.64,0.415,1.226,14799.8,68406.97,3,0.907,29,883,HoReCa,0
4943.42,5684.67,0.102,1.15,6426.71,11012.45,1,0.717,4,145,HoReCa,0
3767.75,4060.61,0.454,1.078,20749.69,98770.53,4,0.791,35,1074,Services,0
4019.78,1706.85,0.751,0.425,14574.28,20131.06,1,0.625,7,216,Services,0
3372.78,2985.03,0.172,0.885,9656.27,32824.9,1,0.627,18,566,IT,0
9984.7,5222.1,0.152,0.523,7236.88,11068.01,1,0.875,33,1007,Retail,0
4183.18,3997.07,0.188,0.956,-3806.09,164130.47,4,0.646,26,781,IT,1
8955.52,7617.31,0.27,0.851,774.79,108657.83,4,0.66,25,763,Beauty,0
7397.84,7836.08,0.314,1.059,13592.44,32103.26,1,0.54,27,838,Beauty,0
6546.32,3989.74,0.628,0.609,8439.15,23883.95,2,0.989,34,1028,HoReCa,0
9351.72,6116.63,0.675,0.654,14674.62,39824.84,1,0.778,4,126,Services,0
9599.09,8870.65,0.268,0.924,9222.29,20595.87,1,0.939,17,538,Retail,0
3231.92,1268.62,0.282,0.393,6982.97,65154.69,2,0.417,3,101,Services,1
7899.2,3379.37,0.45,0.428,12467.12,85125.63,2,0.871,25,770,Retail,0
5262.9,2805.22,0.613,0.533,19394.26,16360.55,1,0.546,33,999,IT,0
8569.66,6742.85,0.424,0.787,23046.79,39744.49,2,0.369,6,192,Services,0
3491.76,4118.16,0.114,1.179,23968.29,32243.14,2,0.776,31,948,IT,0
9701.89,6788.01,0.291,0.7,24485.8,33478.23,3,0.697,24,722,Beauty,0
6789.58,3439.15,0.754,0.507,17050.78,0.0,0,0.0,3,97,HoReCa,0
8751.99,3316.39,0.507,0.379,750.14,0.0,0,0.0,23,700,Services,0
6189.56,4625.47,0.35,0.747,23965.54,69123.0,3,0.493,16,504,Retail,0
7100.67,4012.21,0.792,0.565,15161.79,30671.27,2,0.568,9,280,Beauty,0
2973.87,2395.01,0.607,0.805,15399.15,0.0,0,0.0,12,380,IT,0
1686.85,1835.35,0.662,1.088,3916.42,55623.83,2,0.75,14,421,IT,1
7295.18,7240.57,0.722,0.993,2305.85,105282.9,3,0.557,24,734,IT,1
2999.74,1111.12,0.769,0.37,5647.94,0.0,0,0.0,14,426,IT,0
7221.45,8541.69,0.794,1.183,9189.72,46672.92,2,0.932,21,641,IT,0
4075.03,5152.6,0.621,1.264,16536.12,102216.69,3,0.792,34,1021,HoReCa,0
6138.87,2341.82,0.352,0.381,800.18,0.0,0,0.0,13,398,HoReCa,0
1585.97,1706.3,0.204,1.076,8403.51,33405.98,1,0.621,12,372,Services,0
2249.21,2362.03,0.39,1.05,15802.03,28818.7,1,0.693,22,686,Services,0
4358.94,1756.24,0.511,0.403,16903.91,0.0,0,0.0,35,1079,Retail,0
9564.72,10630.86,0.288,1.111,-3339.21,97536.43,3,0.808,30,909,Beauty,0
2610.39,850.57,0.36,0.326,1653.38,0.0,0,0.0,21,658,HoReCa,0
2021.42,1866.61,0.6,0.923,24116.64,0.0,0,0.0,29,874,Retail,0
6277.94,2376.26,0.104,0.379,21437.74,137120.71,4,0.948,26,782,HoReCa,1
4817.77,1585.64,0.736,0.329,18073.23,68408.25,2,0.717,30,919,Retail,0
5002.15,4830.9,0.197,0.966,10740.17,11257.31,1,0.619,7,232,Beauty,0
4551.51,3131.7,0.666,0.688,18878.95,125304.98,4,0.391,34,1020,HoReCa,0
4088.45,1242.54,0.117,0.304,1816.23,48009.27,1,0.859,2,79,HoReCa,1
2259.39,1199.14,0.406,0.531,3735.89,0.0,0,0.0,6,198,HoReCa,0
2048.26,1728.79,0.781,0.844,11793.87,91766.59,3,0.379,6,207,Retail,1
8343.29,7096.35,0.695,0.851,19776.65,79590.62,3,0.5,34,1042,HoReCa,0
2009.36,852.84,0.462,0.424,23865.88,12183.46,1,0.658,2,67,Beauty,0
4279.56,2461.56,0.54,0.575,22287.6,18629.13,1,0.911,6,205,Retail,0
8596.65,6734.63,0.629,0.783,-1650.92,45672.35,1,0.671,18,564,Services,0
1836.24,1742.87,0.382,0.949,15942.12,23066.47,1,0.365,11,357,IT,0
9606.48,5746.12,0.549,0.598,-1206.07,0.0,0,0.0,30,912,HoReCa,1
2923.5,1910.73,0.365,0.654,-1025.93,50344.61,2,0.954,11,343,IT,1
8341.08,9630.77,0.358,1.155,19066.09,0.0,0,0.0,25,771,Services,0
4132.73,4134.61,0.701,1.0,7054.4,79430.49,2,0.302,1,48,IT,0
8322.58,9983.87,0.273,1.2,22324.73,21336.04,1,0.606,16,508,Beauty,0
1656.05,1521.22,0.558,0.919,4295.41,0.0,0,0.0,19,596,IT,0
5596.96,3235.84,0.149,0.578,4735.2,94204.54,2,0.688,26,809,Beauty,0
6438.23,4577.15,0.611,0.711,13876.58,51865.13,2,0.902,9,275,IT,0
9425.77,6306.01,0.763,0.669,-934.49,11888.7,1,0.941,15,468,IT,0
6122.96,4735.71,0.337,0.773,13395.11,43422.98,1,0.978,10,313,Services,0
6953.43,5077.23,0.116,0.73,21250.26,127375.57,4,0.338,32,986,IT,0
4920.35,3650.15,0.206,0.742,18120.76,36162.46,2,0.993,4,141,Retail,0
4299.23,3423.46,0.13,0.796,11333.84,11571.69,1,0.775,27,826,Retail,0
5163.36,6645.76,0.222,1.287,11834.51,37089.95,1,0.498,19,583,HoReCa,0
4818.2,3706.05,0.391,0.769,6031.26,0.0,0,0.0,4,131,Services,0
7254.3,2858.13,0.448,0.394,3721.67,45605.91,2,0.48,35,1066,HoReCa,0
9011.98,10442.56,0.753,1.159,15801.46,71565.25,3,0.895,3,117,Services,0
7091.2,8729.91,0.771,1.231,18681.38,35512.64,1,0.683,9,282,Beauty,0
3669.48,3091.81,0.573,0.843,1991.34,46612.17,1,0.32,31,934,HoReCa,0
7661.76,3199.22,0.726,0.418,24706.68,109317.16,4,0.423,5,167,HoReCa,0
7030.16,5205.37,0.723,0.74,22035.33,67315.87,2,0.528,22,662,HoReCa,0
5753.05,3321.96,0.35,0.577,14284.06,47281.8,1,0.591,5,162,Services,0
3856.7,4052.58,0.798,1.051,14341.6,77698.83,3,0.636,33,998,IT,0
4060.47,3652.11,0.424,0.899,138.2,73997.5,3,0.612,31,933,Beauty,0
1718.81,1896.37,0.339,1.103,21918.95,149117.61,4,0.501,35,1056,Beauty,1
7680.62,9499.8,0.101,1.237,-64.24,83060.3,3,0.618,27,819,Retail,0
4994.77,5144.58,0.266,1.03,-1047.69,128781.31,4,0.31,14,449,HoReCa,1
8217.21,6538.05,0.307,0.796,7633.57,137403.18,4,0.31,7,233,Beauty,0
4892.43,3463.66,0.391,0.708,4736.62,66395.88,2,0.331,9,288,IT,0
7689.56,9822.82,0.327,1.277,-3879.41,0.0,0,0.0,14,442,IT,0
7528.04,3846.88,0.24,0.511,15648.79,101308.06,3,0.508,13,397,HoReCa,0
8634.97,8088.31,0.414,0.937,1637.13,45753.38,1,0.49,2,71,Retail,0
1764.99,774.22,0.709,0.439,-1180.64,0.0,0,0.0,31,954,Services,0
6029.45,7545.51,0.752,1.251,5843.96,71112.07,3,0.763,15,450,Beauty,0
8185.11,6406.71,0.113,0.783,4930.49,42361.84,1,0.47,16,495,Beauty,0
6184.7,2563.18,0.596,0.414,4162.98,42939.85,2,0.674,6,208,Beauty,0
1667.67,1659.66,0.195,0.995,-1392.47,25756.45,1,0.522,10,323,Services,1
7356.5,7235.8,0.497,0.984,-4914.74,0.0,0,0.0,29,887,Services,0
2443.8,1352.04,0.41,0.553,22276.97,41979.21,3,0.762,29,871,Services,0
1786.02,1623.13,0.199,0.909,378.89,0.0,0,0.0,19,576,Beauty,0
9539.17,6500.14,0.751,0.681,-2640.14,48314.98,1,0.646,18,546,Services,0
9679.58,7644.0,0.684,0.79,17877.13,54201.06,2,0.336,14,444,Beauty,0
4332.55,1690.54,0.517,0.39,13180.45,59327.16,2,0.345,28,843,IT,0
2607.9,1087.18,0.316,0.417,24575.75,0.0,0,0.0,6,192,Beauty,0
4304.79,5172.14,0.774,1.201,3111.5,65557.21,2,0.516,16,494,HoReCa,0
9812.94,8396.12,0.796,0.856,104.28,0.0,0,0.0,1,32,Retail,1
7372.25,3069.43,0.651,0.416,5804.86,178465.48,4,0.334,29,881,Beauty,1
5344.75,2441.28,0.397,0.457,7792.18,30916.34,1,0.788,13,416,Services,0
2313.37,904.61,0.74,0.391,14446.28,129737.5,4,0.502,29,892,IT,1
9149.23,5255.43,0.414,0.574,6795.11,93497.8,3,0.488,4,140,Services,0
5924.42,4255.89,0.559,0.718,16424.59,49331.66,1,0.641,17,531,HoReCa,0
8530.84,4909.05,0.398,0.575,2951.05,0.0,0,0.0,26,796,Retail,0
7509.76,4147.07,0.224,0.552,19321.91,84132.8,3,0.324,3,112,Beauty,0
9387.16,5848.0,0.68,0.623,2117.63,106329.42,3,0.347,17,517,Retail,0
3894.27,2912.9,0.436,0.748,-1376.61,127913.84,4,0.338,8,258,IT,1
5586.15,5630.17,0.752,1.008,17437.71,0.0,0,0.0,3,103,IT,0
8792.06,8430.31,0.316,0.959,11993.31,67582.97,4,0.975,30,905,IT,0
6404.95,2458.69,0.34,0.384,24784.12,27584.66,1,0.57,7,238,IT,0
6667.64,5028.92,0.173,0.754,2162.98,48467.41,1,0.731,19,583,Services,0
5774.17,7172.86,0.136,1.242,10816.78,120734.92,3,0.829,9,288,IT,0
2412.06,1079.52,0.244,0.448,18908.43,162341.25,4,0.38,34,1033,Services,1
1545.26,987.73,0.495,0.639,4680.51,34413.12,1,0.45,23,699,Services,0
5372.74,3618.65,0.528,0.674,16058.42,98747.94,2,0.711,16,480,HoReCa,0
1830.43,1048.02,0.561,0.573,21146.37,80643.15,3,0.695,30,905,HoReCa,1
1755.17,1529.32,0.378,0.871,23593.74,51595.38,1,0.515,9,280,IT,0
1883.48,1893.82,0.753,1.005,17375.93,105005.98,4,0.579,23,694,IT,1
5178.81,2929.19,0.445,0.566,16130.59,86366.79,3,0.633,1,59,HoReCa,0
7738.32,5069.62,0.388,0.655,7214.93,146601.24,4,0.873,21,633,Beauty,0
5149.24,2131.5,0.386,0.414,15284.25,29595.72,1,0.994,3,102,Services,0
8695.71,3417.68,0.189,0.393,12678.02,0.0,0,0.0,6,192,Retail,0
5658.17,2825.58,0.415,0.499,4229.65,79752.64,3,0.84,31,948,Beauty,0
6693.05,4712.64,0.674,0.704,1645.03,147374.83,4,0.768,29,874,Beauty,1
5793.91,2543.29,0.624,0.439,2572.41,96690.73,3,0.543,27,820,Retail,1
5430.08,6936.21,0.152,1.277,20307.61,23872.41,1,0.867,18,554,Services,0
3441.48,2049.75,0.676,0.596,16160.88,0.0,0,0.0,26,807,Retail,0
2099.29,2140.64,0.506,1.02,-2172.79,0.0,0,0.0,7,239,Beauty,0
3747.44,3063.38,0.469,0.817,22730.63,35400.93,1,0.581,2,89,Retail,0
4731.66,4557.29,0.71,0.963,5251.36,39104.16,1,0.614,10,303,Retail,0
6732.7,8419.48,0.167,1.251,24412.43,0.0,0,0.0,21,634,Beauty,0
2088.46,1232.8,0.247,0.59,18596.31,10072.33,1,0.576,3,112,HoReCa,0
2840.48,1297.1,0.277,0.457,23587.31,29087.45,2,0.961,18,561,Beauty,0
8727.27,5153.27,0.594,0.59,-44.81,66455.88,3,0.819,1,32,Retail,1
6560.52,2280.33,0.711,0.348,6564.11,87997.09,2,0.506,19,582,Retail,1
2623.38,2550.61,0.363,0.972,18471.87,0.0,0,0.0,2,88,Beauty,0
6491.02,4061.48,0.434,0.626,16649.46,103281.26,3,0.615,30,917,IT,0
3690.92,2881.55,0.259,0.781,9965.53,136791.23,4,0.393,17,519,HoReCa,1
5142.8,4165.98,0.609,0.81,13658.88,46416.86,2,0.323,6,191,IT,0
6033.86,3359.47,0.46,0.557,-3953.59,88551.24,3,0.787,19,582,Services,1
2169.95,1919.49,0.634,0.885,-3856.45,0.0,0,0.0,17,539,HoReCa,1
9439.31,4113.96,0.329,0.436,2107.78,0.0,0,0.0,1,59,IT,0
9111.01,11803.46,0.214,1.296,-1434.42,157757.31,4,0.901,15,475,Beauty,0
5718.58,6167.85,0.393,1.079,17032.14,0.0,0,0.0,13,397,Beauty,0
2541.41,837.5,0.248,0.33,8018.06,155179.86,4,0.364,14,447,Beauty,1
2375.85,720.17,0.259,0.303,4105.3,30221.29,1,0.774,33,996,IT,1
7871.82,2886.03,0.195,0.367,24282.39,51827.11,1,0.825,2,66,Beauty,0
4632.4,4924.1,0.138,1.063,16105.24,0.0,0,0.0,17,517,HoReCa,0
5913.43,1842.46,0.795,0.312,3987.78,56019.81,2,0.301,8,267,Services,0
5258.31,6722.72,0.14,1.278,12653.01,0.0,0,0.0,34,1047,Retail,0
4370.93,2284.26,0.592,0.523,2836.01,0.0,0,0.0,23,692,Services,0
