transaction_id;account_id;category_id;date;amount;direction;counterparty;payment_method
tx_49;account_1;4;04.05.2026;6684.85;inbound;Ecvaring;acquiring
tx_50;account_1;4;06.05.2026;6173.83;inbound;Ecvaring;acquiring
tx_51;account_1;4;07.05.2026;8769.08;inbound;Ecvaring;acquiring
tx_52;account_1;4;08.05.2026;5316.95;inbound;Ecvaring;acquiring
tx_53;account_1;4;09.05.2026;4893.26;inbound;Ecvaring;acquiring
tx_54;account_1;4;10.05.2026;8352.59;inbound;Ecvaring;acquiring
tx_55;account_1;4;11.05.2026;7194.75;inbound;Ecvaring;acquiring
tx_56;account_1;4;12.05.2026;4764.2;inbound;Ecvaring;acquiring
tx_57;account_1;4;13.05.2026;6696.9;inbound;Ecvaring;acquiring
tx_58;account_1;4;16.05.2026;8645.49;inbound;Ecvaring;acquiring
tx_59;account_1;4;17.05.2026;8158.33;inbound;Ecvaring;acquiring
tx_60;account_1;4;18.05.2026;4289.63;inbound;Ecvaring;acquiring
tx_61;account_1;4;21.05.2026;7803.01;inbound;Ecvaring;acquiring
tx_62;account_1;4;22.05.2026;4641.96;inbound;Ecvaring;acquiring
tx_63;account_1;4;23.05.2026;6749.02;inbound;Ecvaring;acquiring
tx_64;account_1;4;24.05.2026;8362.17;inbound;Ecvaring;acquiring
tx_65;account_1;4;25.05.2026;5058.99;inbound;Ecvaring;acquiring
tx_66;account_1;4;26.05.2026;7649.66;inbound;Ecvaring;acquiring
tx_67;account_1;4;27.05.2026;5558.58;inbound;Ecvaring;acquiring
tx_68;account_1;4;28.05.2026;7249.39;inbound;Ecvaring;acquiring
tx_69;account_1;4;30.05.2026;5123.49;inbound;Ecvaring;acquiring
tx_70;account_1;4;31.05.2026;6941.54;inbound;Ecvaring;acquiring
tx_71;account_1;4;02.06.2026;7155.51;inbound;Ecvaring;acquiring
tx_72;account_1;4;03.06.2026;8527.1;inbound;Ecvaring;acquiring
tx_73;account_1;4;04.06.2026;4354.29;inbound;Ecvaring;acquiring
tx_74;account_1;4;05.06.2026;7344.89;inbound;Ecvaring;acquiring
tx_75;account_1;4;06.06.2026;4661.56;inbound;Ecvaring;acquiring
tx_76;account_1;4;07.06.2026;6855.22;inbound;Ecvaring;acquiring
tx_77;account_1;4;08.06.2026;7923.1;inbound;Ecvaring;acquiring
tx_78;account_1;4;10.06.2026;6155.26;inbound;Ecvaring;acquiring
tx_79;account_1;4;11.06.2026;6335.12;inbound;Ecvaring;acquiring
tx_80;account_1;4;12.06.2026;7366.82;inbound;Ecvaring;acquiring
tx_81;account_1;4;13.06.2026;4492.09;inbound;Ecvaring;acquiring
tx_82;account_1;4;14.06.2026;5696.51;inbound;Ecvaring;acquiring
tx_83;account_1;4;15.06.2026;5243.28;inbound;Ecvaring;acquiring
tx_84;account_1;4;16.06.2026;6243.07;inbound;Ecvaring;acquiring
tx_85;account_1;4;17.06.2026;5392.73;inbound;Ecvaring;acquiring
tx_86;account_1;4;18.06.2026;8616.33;inbound;Ecvaring;acquiring
tx_87;account_1;4;19.06.2026;8306.75;inbound;Ecvaring;acquiring
tx_88;account_1;4;20.06.2026;4252.94;inbound;Ecvaring;acquiring
tx_89;account_1;4;21.06.2026;8180.14;inbound;Ecvaring;acquiring
tx_90;account_1;4;22.06.2026;8631.83;inbound;Ecvaring;acquiring
tx_91;account_1;4;23.06.2026;4831.56;inbound;Ecvaring;acquiring
tx_92;account_1;4;24.06.2026;5068.74;inbound;Ecvaring;acquiring
tx_93;account_1;4;25.06.2026;4293.18;inbound;Ecvaring;acquiring
tx_94;account_1;4;26.06.2026;8926.54;inbound;Ecvaring;acquiring
tx_95;account_1;4;27.06.2026;7920.35;inbound;Ecvaring;acquiring
tx_96;account_1;4;28.06.2026;6115.04;inbound;Ecvaring;acquiring
tx_96;account_1;4;28.06.2026;6115.04;inbound;Ecvaring;acquiring
tx_97;account_1;4;29.06.2026;8977.11;inbound;Ecvaring;acquiring
tx_98;account_1;4;30.06.2026;7592.04;inbound;Ecvaring;acquiring
