id;Мера;Организатор;Уровень;Тип;Аудитория;Сумма_мин_руб;Сумма_макс_руб;Софинансирование;Возраст;Окно_2026;Статус_на_19.07.2026;Постоянный_прием;Канал_подачи;Ключевые_условия;Стоп-факторы;Источник;Верифицировано;Примечание
agro-unified-grant;Объединённый грант фермерам (взамен «Агростартапа»);Минсельхоз через регионы;федерально-региональный;грант;КФХ, начинающие и семейные фермы;;30000000;10–40% на выбор;без ограничения;устанавливает регион;программа действует, сроки региональные;нет;Минсельхоз региона;"с 2026 «Агростартап» и грант на семейные фермы объединены в один инструмент; чем выше доля собственных средств, тем больше сумма; обязательство создать рабочие места и отчитываться";нецелевое использование ведёт к возврату средств через суд;https://mcx.gov.ru;да, 2026;Ключевое изменение 2026 года в агроподдержке. На направление в целом заложено около 14,5 млрд руб федеральных средств
agro-tourism;Агротуризм;Минсельхоз через регионы;федерально-региональный;грант;сельхозтоваропроизводители МСП;;10000000;требуется;без ограничения;устанавливает регион;программа действует;нет;Минсельхоз региона;развитие туристического направления на базе действующего хозяйства;нецелевое использование;https://mcx.gov.ru;да, 2026;
agro-motivator;Агромотиватор;Минсельхоз через регионы;федерально-региональный;грант;участники СВО, желающие стать фермерами;;7000000;требуется;без ограничения;устанавливает регион;программа действует;нет;Минсельхоз региона;до 7 млн на животноводство, до 5 млн на прочие проекты;несоответствие категории заявителя;https://mcx.gov.ru;да, 2026;
agro-bakery;Грант на сельскую пекарню;Минсельхоз через регионы;федерально-региональный;грант;МСП на селе;;10000000;требуется;без ограничения;устанавливает регион;программа действует;нет;Минсельхоз региона;строительство и оборудование пекарни в сельской местности;нецелевое использование;https://mcx.gov.ru;да, 2026;
program-1764;Льготное кредитование МСП (Программа 1764);Минэкономразвития, уполномоченные банки;федеральный;льготный кредит;МСП в приоритетных отраслях;500000;2000000000;нет;без ограничения;круглогодично;действует;да;уполномоченный банк;"ставка «ключевая ЦБ + не более 2,75%»; до 2 млрд для средних, до 500 млн для малых; инвестцели до 10 лет, оборотные до 3 лет; приоритетные отрасли: обработка, переработка сельхозпродукции, импортозамещение, экспорт";"доля не-МСП в капитале свыше 25%; налоговая задолженность; уже есть кредит по ПП 141 или 469";https://мсп.рф;да, 2026;Субсидирование ставки по инвестцелям до 5 лет, по оборотным до 1 года
umbrella-guarantee;Зонтичные поручительства;Корпорация МСП;федеральный;гарантия;МСП без залогового обеспечения;;1000000000;нет;без ограничения;круглогодично;действует;да;банк-партнёр;"покрывает до 50% суммы кредита; срок кредитования до 10 лет; оформляется банком, отдельная заявка в Корпорацию не подаётся";"отсутствие в реестре МСП; отрасль из стоп-листа";https://мсп.рф;да, 2026;Самый недооценённый инструмент: закрывает главную причину отказа в кредите — нехватку залога
preferential-leasing;Льготный лизинг промышленного оборудования;Корпорация МСП, региональные лизинговые компании;федеральный;лизинг;производственные МСП;;;авансовый платёж;без ограничения;круглогодично;действует;да;региональная лизинговая компания;ставка 6% на российское оборудование, 8% на импортное;отсутствие в реестре МСП;https://мсп.рф;да, 2026;
region-microloan;Микрозаём регионального фонда (МФО);Региональные микрокредитные компании;региональный;льготный заём;МСП и самозанятые;100000;5000000;нет;без ограничения;круглогодично;действует;да;региональная МФО, центр «Мой бизнес»;"ставка обычно привязана к ключевой; лимиты и требования устанавливает регион; часто доступно самозанятым";"налоговая задолженность; регистрация в другом регионе";https://мойбизнес.рф;частично;Параметры сильно различаются по субъектам, сверять на сайте своего фонда
my-business-centers;Услуги центров «Мой бизнес»;Минэкономразвития, регионы;региональный;нефинансовая;МСП, самозанятые, физлица с бизнес-идеей;;;нет;без ограничения;круглогодично;действует;да;центр «Мой бизнес» в регионе;"консультации, бухгалтерия и юрпомощь, обучение, помощь с сертификацией и выходом на маркетплейсы; бесплатно или с частичной оплатой";нет;https://мойбизнес.рф;да, 2026;Обучение здесь — обязательное условие для гранта молодым предпринимателям
msp-platform;Цифровая платформа МСП.РФ;Корпорация МСП;федеральный;нефинансовая;МСП и самозанятые;;;нет;без ограничения;круглогодично;действует;да;мсп.рф, вход через Госуслуги;"подбор мер по цифровому профилю компании; онлайн-подача части заявок; сервисы аналитики и проверки контрагентов";нет;https://мсп.рф;да, 2026;Главная точка входа. Профиль подтягивается из госреестров автоматически
